89550,mia,stephenson,20,verbrugghen street,,brighton,2423,,19550128,42,04 96846341,8427707,6
283290,teileah,rafii,266,truscott street,,port augusta,5291,wa,19250830,29,04 98317026,4233308,9
728950,liam,longhurst,5,cuscaden crescent,,brighton,2228,sa,19450707,41,07 94042437,1726567,0
208210,alexander,pruul,10,carleton street,,hermit park,7109,nt,19070720,43,07 66272552,5522810,6
541000,oliver,creten,10,majura road,nw private hospital,mansfield,2230,act,19861119,29,07 80077337,7244455,9
249540,trey,egan,69,groom street,wondilibi,beaconsfield upper,2607,sa,19090109,34,03 25681215,6276441,4
782690,aidan,lamonaca,3,delamere street,terano park,osborne,5008,qld,19580720,22,08 49540986,3837662,3
240750,chloe,gillis,23,macneil place,,midway point,2036,sa,19350719,31,,9258956,8
234610,renee,dolliver,4,hopegood place,,goonellabah,4871,nsw,19010130,,03 95248068,1731895,6
100010,kasey,mayer,66,marshall street,,moorland,5451,nsw,19610716,,04 85776909,6392253,6
235220,harrison,webb,4,gidja place,,pakenham,2200,nsw,19190226,30,08 60998024,7970184,4
62060,archie,lowe,212,king street,ingrove,vermont south,2261,vic,19240923,30,04 55136013,9739858,6
204170,hayden,wilkins,52,minnett close,tall pines,bilgola,2283,nsw,19451105,32,07 66901643,9099983,7
48780,elki,waller,27,edwards street,,emerald,2280,qld,19120429,33,02 61082842,6736218,9
321690,sienna,minto,42,montefiore crescent,,kirwan,4055,qld,,29,04 18404598,6409499,8
793360,reuben,newberry,41,weetman place,renown,thornbury,3300,vic,19130417,,,1051668,6
795960,sonja,noble,946,bungonia street,mcedwards,st lucia,5083,nsw,19420221,32,03 14751862,5952253,4
543560,marcus,marpaung,30,mckinley circuit,blue hills,boggabri,3909,wa,19530730,35,03 43869545,8782689,4
551230,teal,green,187,goyder street,,clayton,5211,qld,19380324,33,08 85032334,8531779,5
351920,kane,haberfield,2,molesworth street,,bucasia,,nsw,19680912,28,08 40028219,6239418,8
163130,michael,ciardullo,48,may maxwell crescent,,port pirie,5070,qld,19150204,11,07 45045989,5745226,5
118390,jasmyn,white,94,lincoln close,,albany creek,2087,nsw,19871007,31,08 48138602,9817646,2
95470,matthew,weller,84,woralul street,,lakemba,3222,,,,03 24982396,5148895,9
87980,connor,gilley,8,dalabon crescent,,loganholme,2028,nsw,19640811,31,08 96528018,1739677,2
312060,andrew,hand,25,,toolooa,brighton,0822,wa,19330613,36,,9296342,8
