162510,charlotte,ryan,53,allan street,,north turramurra,3192,vic,19151006,,03 89682214,2477980,3
685400,jaxson,krasts,5,david street,,shorncliffe,2477,sa,19070311,33,03 22695799,2627731,7
15040,jacob,pagden,8,blackman crescent,,moodiarrup,2173,vic,19501203,32,07 15864891,2402332,3
58800,william,fullgrabe,28,carrodus street,,klemzig,3860,vic,19780905,29,08 95497849,4374749,7
528620,faith,dietrich,88,bosisto place,,williamstown,4677,vic,19050308,,03 27548424,9590876,3
322960,edward,dudley,10,vidal street,,laurieton,4343,wa,19840228,31,03 46006544,5262597,3
592950,alexander,gimbrere,10,windradyne street,rosetta village,wattamolla,3133,qld,19670402,33,08 60627568,1108575,0
737550,lynton,nguyen,83,botany street,,atherton,2147,,19950425,29,04 08860968,6727698,4
374040,keziah,clarke,7,dunstan street,navan park,sunshine,5038,,19270214,,02 78459048,2633924,9
484420,isabella,dunnicliff,15,frencham place,,hoppers crossing,4060,vic,19251112,25,08 84829473,2637136,9
288120,hayley,green,90,duffus place,domain prk,batemans bay,3106,wa,19140106,40,03 72141663,5444354,8
307680,trey,,24,downes place,carrington retrmnt vlge,dapto,4505,,19600503,27,04 74938082,3817278,0
546530,holly,dunstone,40,saltash place,little mount home park,warrandyte,3215,nsw,19330727,26,03 01239476,6950034,2
545180,shaun,ryan,10,banvard place,,sheidow park,2017,sa,19420710,24,04 12049940,7163289,6
774610,natalee,huxley,28,beaufort retreat,mannafields farm,elizabeth vale,5067,nsw,19980810,,08 50224744,4767258,2
639840,bronte,white,30,oldham court,,prahran east,7173,vic,19640723,32,03 52132346,7322080,6
781620,laura,bishop,24,kurrama close,,eastwood,4670,wa,19420625,26,07 48130296,5897440,8
72660,kyle,clarke,29,dugan street,wooloondool farm,paralowie,4032,wa,19230904,27,04 42281485,8815722,8
702430,alana,mason,62,rohan street,,sunshine,4312,nsw,19240426,7,04 64017181,6332811,5
522970,jennifer,gillard,11,harrington circuit,yarramar,wanneroo,2850,nsw,19071224,31,08 77836857,4228620,6
769970,sophie,mcgregor,63,bruny place,,coodanup,3184,vic,19970211,33,04 71966090,5795780,0
137720,caitlin,menzies,22,magenta square,,kemblawarra,7051,nsw,19530602,28,08 77500582,3534655,7
356530,blaize,nikolai,30,kingscote crescent,,beenleigh,4350,vic,19611101,,03 75543659,2641215,6
63670,alexander,noble,1,dempsey place,,wendouree,4060,tas,19210915,30,07 44702610,6486371,0
226620,dean,,16,jansz crescent,,marks point,2226,qld,19240624,27,08 95617325,1811542,5
686790,brianna,mastripolito,64,bussell crescent,,kingaroy,3173,nsw,,38,02 77404063,2769669,2
501620,jacinta,moody,18,dexter street,,roleystone,5064,,19090729,34,07 61878499,7732920,6
197140,brooke,watkin,28,owen crescent,walnut grove estate,adamstown,2216,qld,19851203,31,07 28237775,1560431,5
102000,sarah,cochrane,48,gadali crescent,locn 1383,marsfield,3150,qld,19900602,29,07 16892239,3505340,9
46410,zachary,ryan,72,monkman street,,thornlands,2198,qld,19500902,,02 92053507,4724620,5
167030,alysha,agius,7,harpur street,,blackbutt,2126,vic,19801109,37,,9916000,8
379490,caleb,chandler,112,morrell place,,callala bay,3012,vic,19510220,34,03 60858761,7158345,5
576270,caleb,beckwith,5,chaseling street,colooli village,dianella,2620,vic,19190319,,08 14104512,7995934,5
276100,samuel,clarke,18,arabana street,villa 513,barmera,7026,wa,19650627,22,07 33344195,1198800,0
368290,xani,hoffman,41,brigalow street,lvel 2180,matraville,2064,nsw,19100224,31,02 75270306,7200997,1
512310,nicholas,linnell,4,miranda place,,yass,6163,nsw,19950423,,08 53880081,2230118,1
3790,liam,robson,66,marungal avenue,telemon,malvern east,4051,nsw,,29,03 39740952,5452773,4
359380,hayley,beattie,63,solly place,,modbury,2550,nsw,19391122,27,04 06186045,6462870,1
533100,deakin,paterson,50,northcott drive,,port lincoln,4213,nsw,19000106,34,07 49486196,9480126,2
564310,katelyn,snelling,10,jardine street,knox retirement village,westmeadows,2259,vic,19470304,,02 00727828,1338523,5
342150,blayke,clarke,11,port arthur street,,warrane,4152,nsw,19990111,30,07 73467526,4317818,2
106560,lachlan,green,16,zwar place,,normanville,6530,nsw,,30,,9316145,6
769580,domenique,van rossen,29,murranji street,bocking,colonel light gardens,3305,nt,19440921,36,07 40240704,5792724,5
200780,james,kluske,,denny street,yarrabin,south perth,4064,nsw,19261005,30,07 54539614,4722264,6
312660,ethan,white,18,edols place,,altona north,2460,nsw,19481106,23,08 64638195,8977719,8
403180,oliver,compton,10,clear street,,hawthorn,3337,nsw,19070918,29,03 78189963,2156042,7
171650,james,white,44,investigator street,goughs bay,blacktown,2173,sa,19261204,33,07 05579755,2839696,5
530020,,rickett,3,anzac parade,taronga,albion park,2282,sa,19311115,29,07 02624777,2492179,1
798610,jessica,lowe,,belconnen churches centre,,quairading,2447,sa,19361229,31,03 84783772,3299169,4
20740,mitchell,dixon,7,meldrum street,,broken hill,4305,vic,19840505,33,03 46352748,3660187,0
165130,alec,,16,cumberlege crescent,,marsfield,4810,qld,19061003,21,04 65040412,7201178,6
294680,lara,white,76,arkell place,sec 1,cabramatta,4805,vic,19271011,,03 17636890,7663626,8
684780,amaya,nguyen,16,clare dennis avenue,,blackheath,4814,,19480731,35,08 78241353,8988093,9
732040,isabelle,shadbolt,9,alston street,,wamberal,2035,,19441122,27,04 30768224,2037726,6
334130,anna,rees,32,mccormack street,,mackay north,2440,nsw,19540214,14,07 55057609,5868149,5
199190,rebecca,maclaine,142,mentone view,summerdale medical centre,kingston,3561,nsw,19510402,36,07 32365576,6422556,8
329030,luke,moulton,26,howitt street,dodonaea wing,seaforth,2194,nsw,19371122,12,07 15204480,1428836,4
1900,joshua,gaskin,15,,lapstone,mount eliza,4560,nsw,19480419,25,02 10221051,3475723,6
532050,kieran,knuplez,40,sternberg crescent,,carrum,2905,qld,19970320,29,02 11812591,2995342,8
640370,alicia,motbey,19,majura road,,balhannah,2156,nsw,19240205,,08 80775276,1040332,9
602850,kieren,reid,31,marshall street,ruglen,bicton,2515,qld,19270305,,08 59877171,6444089,9
578110,joseph,,10,colebatch place,,montmorency,0870,vic,,22,03 57772780,3265358,5
